"","hs_complete","taken_comp_classes","work_computer","computer_hours","income","job_satisfaction","retired_tech","computer_unemployment","computers_add_jobs","science_better","satisfaction_binomial","satisfaction_binom"
"1080","Yes","No","Yes",2,20000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"1081","Yes","No","No",0,1000,"Somewhat satisfied",NA,NA,"Somewhat agree","Somewhat agree","Somewhat satisfied",1
"1082","Yes","Yes","Yes",1,40000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"1083","Yes","Yes","Yes",20,60000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"1084","Yes","Yes","Yes",10,60000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"1085","Yes","Yes","Yes",8,12000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Strongly agree","Somewhat satisfied",1
"1086","Yes","No","No",0,30000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"1087","Yes","No","No",0,40000,"Somewhat satisfied","No",NA,"Somewhat agree","Somewhat agree","Somewhat satisfied",1
"1088","Yes","Yes","Yes",2,47000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"1089","Yes","No","Yes",10,40000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"1090","No","No","No",0,16000,"Strongly satisfied",NA,"No","Strongly disagree","Somewhat agree","Strongly satisfied",1
"1091","Yes","No","Yes",14,28000,"Strongly satisfied",NA,NA,"No opinion","No opinion","Strongly satisfied",1
"1092","Yes","No","Yes",30,15000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"1093","Yes","No","No",0,1000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"1094","Yes","No","No",0,9600,"Somewhat dissatisfied",NA,NA,"Strongly disagree","Strongly agree","Somewhat dissatisfied",0
"1095","Yes","Yes","Yes",1,30000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"1096","Yes","No","No",0,19000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"1097","Yes","No","Yes",2,25000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"1098","Yes","No","No",0,30000,"Strongly satisfied",NA,NA,"Strongly agree","Somewhat agree","Strongly satisfied",1
"1099","Yes","No","No",0,37000,"Somewhat satisfied",NA,NA,"No opinion","Strongly agree","Somewhat satisfied",1
"1100","Yes","No","No",0,10000,"Somewhat satisfied",NA,NA,"No opinion","Somewhat agree","Somewhat satisfied",1
"1101","No","No","No",0,40000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Strongly agree","Somewhat satisfied",1
"1102","Yes","Yes","Yes",20,22000,"Strongly satisfied",NA,NA,"Strongly agree","Somewhat agree","Strongly satisfied",1
"1103","Yes","No","No",0,777,"Strongly satisfied",NA,NA,"Strongly disagree","Strongly agree","Strongly satisfied",1
"1104","Yes","Yes","No",0,1000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Strongly agree","Somewhat satisfied",1
"1105","Yes","Yes","No",0,15000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"1106","Yes","Yes","Yes",15,60000,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat disagree","Strongly satisfied",1
"1107","Yes","Yes","Yes",25,18000,"Somewhat dissatisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat dissatisfied",0
"1108","Yes","Yes","No",0,35000,"Strongly satisfied","Not stated",NA,"No opinion","Strongly agree","Strongly satisfied",1
"1109","Yes","No","No",0,22000,"Somewhat satisfied",NA,NA,"Strongly disagree","Strongly agree","Somewhat satisfied",1
"1110","Yes","No","Yes",0,35000,"Strongly dissatisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly dissatisfied",0
"1111","Yes","No","Yes",10,20000,"Somewhat satisfied",NA,"No","Somewhat disagree","Somewhat agree","Somewhat satisfied",1
"1112","Yes","No","No",0,14000,"Somewhat dissatisfied",NA,NA,"No opinion","Strongly agree","Somewhat dissatisfied",0
"1113","No","Yes","No",0,45000,"Somewhat satisfied",NA,NA,"Strongly agree","Strongly agree","Somewhat satisfied",1
"1114","No","No","No",0,20000,"Somewhat satisfied",NA,NA,"Strongly agree","Somewhat agree","Somewhat satisfied",1
"1115","Yes","Yes","No",0,60000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"1116","Yes","No","No",0,50000,"Somewhat satisfied",NA,NA,"Strongly agree","Strongly agree","Somewhat satisfied",1
"1117","Yes","No","No",0,25000,"Strongly dissatisfied",NA,NA,"Strongly disagree","Strongly agree","Strongly dissatisfied",0
"1118","Yes","Yes","No",0,60000,"Somewhat satisfied",NA,NA,"Strongly disagree","Strongly agree","Somewhat satisfied",1
"1119","No","No","No",0,6000,"Somewhat dissatisfied","No",NA,"Somewhat agree","Strongly agree","Somewhat dissatisfied",0
"1120","Yes","No","No",0,40000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Strongly agree","Somewhat satisfied",1
"1121","No","Yes","Yes",15,21000,"Strongly dissatisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly dissatisfied",0
"1122","Yes","No","No",0,30000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"1123","Yes","Yes","No",0,55000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"1124","Yes","No","No",0,18000,"Somewhat satisfied",NA,"No","Strongly disagree","Somewhat agree","Somewhat satisfied",1
"1125","Yes","Yes","Yes",0,51000,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat agree","Strongly satisfied",1
"1126","Yes","Yes","No",0,30000,"Strongly satisfied","Not stated",NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"1127","Yes","Yes","Yes",2,60000,"Strongly satisfied",NA,NA,"Somewhat disagree","Strongly agree","Strongly satisfied",1
"1128","Yes","Yes","Yes",25,45000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"1129","Yes","No","No",0,10000,"Strongly satisfied",NA,NA,"Strongly disagree","Strongly agree","Strongly satisfied",1
"1130","Yes","No","No",0,27000,"Somewhat satisfied",NA,NA,NA,NA,"Somewhat satisfied",1
"1131","Yes","No","Yes",2,60000,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat agree","Strongly satisfied",1
"1132","Yes","No","No",0,10000,"Somewhat satisfied",NA,NA,"Somewhat agree","Strongly agree","Somewhat satisfied",1
"1133","Yes","Yes","Yes",40,25000,"Somewhat satisfied",NA,NA,"Strongly agree","Strongly agree","Somewhat satisfied",1
"1134","Yes","Yes","No",0,55000,"Somewhat satisfied",NA,NA,"Somewhat agree","Somewhat agree","Somewhat satisfied",1
"1135","Yes","Yes","Yes",5,4000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat disagree","Strongly satisfied",1
"1136","Yes","Yes","Yes",2,30000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"1137","No","No","Yes",37,19000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"1138","Yes","Yes","Yes",10,30000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"1139","Yes","Yes","Yes",15,50000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"1140","Yes","No","No",0,0,"Strongly satisfied",NA,NA,"Strongly disagree","Strongly agree","Strongly satisfied",1
"1141","Yes","No","Yes",10,20000,"Somewhat dissatisfied",NA,NA,"Somewhat disagree","Strongly agree","Somewhat dissatisfied",0
"1142","Yes","No","No",0,40000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"1143","Yes","Yes","Yes",20,50000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"1144","No","No","No",0,25000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"1145","Yes","No","No",0,35000,"Strongly satisfied",NA,NA,"Strongly disagree","Strongly disagree","Strongly satisfied",1
"1146","Yes","Yes","Yes",12,60000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"1147","Yes","Yes","Yes",30,60000,"Strongly satisfied",NA,NA,"Strongly agree","Somewhat agree","Strongly satisfied",1
"1148","Yes","No","No",0,2000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"1149","Yes","No","No",0,9500,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"1150","Yes","Yes","No",0,1400,"Strongly dissatisfied",NA,NA,"Strongly agree","Strongly agree","Strongly dissatisfied",0
"1151","Yes","No","No",0,5000,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat agree","Strongly satisfied",1
"1152","Yes","Yes","Yes",40,30000,"Strongly satisfied",NA,NA,"Somewhat disagree","Strongly agree","Strongly satisfied",1
"1153","Yes","No","No",0,32000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"1154","Yes","No","No",0,25000,"Strongly satisfied",NA,NA,"Strongly disagree","Strongly agree","Strongly satisfied",1
"1155","Yes","Yes","No",0,20000,"Somewhat dissatisfied",NA,NA,"Strongly agree","Strongly agree","Somewhat dissatisfied",0
"1156","Yes","Yes","Yes",25,30000,"Somewhat satisfied",NA,NA,"Strongly agree","Somewhat agree","Somewhat satisfied",1
"1157","Yes","Yes","Yes",3,35000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"1158","Yes","No","No",0,16000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"1159","Yes","No","Yes",12,1500,"Strongly satisfied",NA,NA,"Strongly disagree","Strongly agree","Strongly satisfied",1
"1160","Yes","Yes","No",0,50000,"Somewhat satisfied",NA,NA,"Strongly agree","Strongly agree","Somewhat satisfied",1
"1161","Yes","No","No",0,3000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"1162","Yes","No","No",0,30000,"Somewhat satisfied",NA,NA,"Somewhat agree","Strongly agree","Somewhat satisfied",1
"1163","Yes","No","No",0,21000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Somewhat disagree","Somewhat satisfied",1
"1164","No","Yes","Yes",25,60000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"1165","Yes","No","No",0,30000,"Somewhat satisfied",NA,NA,"Strongly disagree","Somewhat agree","Somewhat satisfied",1
"1166","Yes","No","Yes",8,34000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat satisfied",1
"1167","Yes","Yes","Yes",5,25000,"Strongly satisfied",NA,NA,"No opinion","Strongly agree","Strongly satisfied",1
"1168","Yes","No","Yes",20,38000,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat agree","Strongly satisfied",1
"1169","Yes","No","No",0,50000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"1170","Yes","No","No",0,22000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"1171","Yes","No","No",0,25000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat satisfied",1
"1172","Yes","No","Yes",3,60000,"Strongly satisfied",NA,NA,"Somewhat disagree","Strongly agree","Strongly satisfied",1
"1173","Yes","No","Yes",38,22000,"Strongly dissatisfied",NA,NA,"Strongly disagree","Somewhat agree","Strongly dissatisfied",0
"1174","Yes","No","No",0,1200,"Somewhat satisfied",NA,NA,"Strongly disagree","Strongly agree","Somewhat satisfied",1
"1175","No","No","Yes",0,33000,"Strongly satisfied",NA,NA,"Somewhat disagree","Strongly agree","Strongly satisfied",1
"1176","Yes","No","Yes",1,15000,"Somewhat dissatisfied",NA,NA,"Somewhat disagree","Strongly agree","Somewhat dissatisfied",0
"1177","Yes","Yes","Yes",20,7000,"Somewhat satisfied",NA,NA,"Strongly agree","Somewhat agree","Somewhat satisfied",1
"1178","Yes","No","Yes",4,20000,"Strongly satisfied",NA,NA,"Strongly disagree","Strongly disagree","Strongly satisfied",1
"1179","Yes","No","No",0,21000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"1180","Yes","Yes","No",0,60000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"1181","No","No","Yes",15,48000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"1182","Yes","No","No",0,32000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"1183","Yes","No","No",0,1440,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat disagree","Strongly satisfied",1
"1184","Yes","No","No",0,30000,"Somewhat dissatisfied",NA,NA,"Strongly disagree","Strongly agree","Somewhat dissatisfied",0
"1185","Yes","No","No",0,18000,"Strongly satisfied",NA,NA,"Strongly disagree","Strongly agree","Strongly satisfied",1
"1186","No","No","No",0,50000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"1187","Yes","No","No",0,1500,"Strongly satisfied",NA,NA,"Strongly disagree","Strongly agree","Strongly satisfied",1
"1188","Yes","Yes","Yes",25,55000,"Somewhat satisfied",NA,NA,"Strongly agree","Somewhat agree","Somewhat satisfied",1
"1189","Yes","Yes","No",0,50000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"1190","Yes","No","No",0,24000,"Somewhat satisfied",NA,NA,"No opinion","Strongly agree","Somewhat satisfied",1
"1191","Yes","No","No",0,8000,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat agree","Strongly satisfied",1
"1192","Yes","No","Yes",1,60000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"1193","Yes","Yes","Yes",5,26000,"Somewhat satisfied",NA,NA,"Somewhat agree","Strongly agree","Somewhat satisfied",1
"1194","Yes","No","Yes",40,15000,"Strongly dissatisfied",NA,"No","Somewhat disagree","Somewhat agree","Strongly dissatisfied",0
"1195","Yes","No","Yes",18,40000,"Strongly satisfied",NA,NA,"Somewhat disagree","No opinion","Strongly satisfied",1
"1196","No","No","No",0,17000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat satisfied",1
"1197","Yes","No","Yes",35,25000,"Strongly satisfied",NA,NA,"Somewhat disagree","Strongly agree","Strongly satisfied",1
"1198","Yes","Yes","Yes",20,35000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"1199","Yes","No","No",0,60000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"1200","Yes","Yes","Yes",38,39000,"Strongly satisfied",NA,NA,"Somewhat disagree","Strongly agree","Strongly satisfied",1
"1201","Yes","No","Yes",12,45000,"Somewhat satisfied",NA,NA,"Somewhat agree","Strongly agree","Somewhat satisfied",1
"1202","Yes","Yes","No",0,52000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"1203","Yes","No","No",0,21000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"1204","Yes","No","No",0,50000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"1205","Yes","No","Yes",2,9000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat satisfied",1
"1206","Yes","No","Yes",4,40000,"Somewhat satisfied",NA,NA,"Strongly disagree","Somewhat agree","Somewhat satisfied",1
"1207","Yes","Yes","No",0,400,"Somewhat satisfied",NA,NA,"Somewhat disagree","Somewhat disagree","Somewhat satisfied",1
"1208","Yes","Yes","Yes",30,24000,"Somewhat satisfied",NA,NA,"Strongly disagree","Somewhat agree","Somewhat satisfied",1
"1209","Yes","No","Yes",40,55000,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat agree","Strongly satisfied",1
"1210","Yes","Yes","Yes",3,22000,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat agree","Strongly satisfied",1
"1211","Yes","No","No",0,24000,"Strongly dissatisfied",NA,NA,"Strongly agree","Strongly agree","Strongly dissatisfied",0
"1212","Yes","Yes","No",0,27000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"1213","Yes","Yes","Yes",20,30000,"Somewhat satisfied",NA,NA,"Strongly agree","Strongly agree","Somewhat satisfied",1
"1214","Yes","No","Yes",2,60000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"1215","No","No","No",0,7000,"Somewhat dissatisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat dissatisfied",0
"1216","Yes","No","Yes",2,26500,"Strongly dissatisfied",NA,"No","Somewhat agree","Somewhat agree","Strongly dissatisfied",0
"1217","Yes","Yes","Yes",5,50000,"Somewhat satisfied",NA,NA,"Strongly disagree","Somewhat agree","Somewhat satisfied",1
"1218","Yes","No","Yes",20,50000,"Strongly satisfied",NA,NA,"Strongly disagree","No opinion","Strongly satisfied",1
"1219","Yes","No","Yes",6,45000,"Strongly satisfied",NA,NA,"Strongly disagree","Strongly agree","Strongly satisfied",1
"1220","Yes","No","No",0,12000,"Strongly satisfied","No",NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"1221","Yes","Yes","Yes",20,33000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"1222","No","No","No",0,30000,"Somewhat satisfied",NA,NA,"No opinion","Somewhat agree","Somewhat satisfied",1
"1223","Yes","No","No",0,50000,"Somewhat satisfied",NA,NA,"Somewhat disagree","No opinion","Somewhat satisfied",1
"1224","Yes","Yes","Yes",15,48000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"1225","Yes","Yes","No",0,27000,"Somewhat dissatisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat dissatisfied",0
"1226","Yes","Yes","Yes",10,50000,"Somewhat satisfied",NA,NA,"Strongly agree","Strongly agree","Somewhat satisfied",1
"1227","Yes","Yes","No",0,12500,"Somewhat satisfied",NA,NA,"Somewhat agree","Strongly agree","Somewhat satisfied",1
"1228","Yes","Yes","No",0,0,"Somewhat dissatisfied",NA,NA,"Strongly disagree","Somewhat disagree","Somewhat dissatisfied",0
"1229","Yes","Yes","Yes",40,20600,"Somewhat dissatisfied",NA,NA,"Somewhat disagree","Strongly agree","Somewhat dissatisfied",0
"1230","Yes","Yes","No",0,35000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"1231","Yes","No","No",0,30000,"Strongly satisfied",NA,NA,"No opinion","Strongly agree","Strongly satisfied",1
"1232","Yes","Yes","Yes",6,27000,"Strongly satisfied",NA,NA,"Strongly disagree","Strongly agree","Strongly satisfied",1
"1233","Yes","No","Yes",18,19000,"Somewhat dissatisfied",NA,NA,"Strongly agree","Somewhat agree","Somewhat dissatisfied",0
"1234","Yes","Yes","No",0,25000,"Strongly satisfied",NA,"No","Somewhat agree","Somewhat agree","Strongly satisfied",1
"1235","Yes","No","No",0,6000,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat disagree","Strongly satisfied",1
"1236","Yes","Yes","Yes",5,34000,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat agree","Strongly satisfied",1
"1237","No","Yes","Yes",0,26000,"Strongly satisfied",NA,NA,"No opinion","Strongly agree","Strongly satisfied",1
"1238","Yes","Yes","No",0,17000,"Somewhat satisfied",NA,NA,"Strongly disagree","Somewhat agree","Somewhat satisfied",1
"1239","Yes","No","No",0,10000,"Strongly satisfied","No",NA,"Strongly disagree","Somewhat disagree","Strongly satisfied",1
"1240","Yes","Yes","Yes",25,50000,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat agree","Strongly satisfied",1
"1241","Yes","No","Yes",3,45000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"1242","Yes","No","No",0,60000,"Somewhat satisfied",NA,NA,"Somewhat agree","Strongly agree","Somewhat satisfied",1
"1243","Yes","No","Yes",35,27000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat satisfied",1
"1244","Yes","No","No",0,42000,"Somewhat satisfied",NA,NA,"Somewhat agree","Strongly agree","Somewhat satisfied",1
"1245","Yes","Yes","Yes",10,18000,"Somewhat dissatisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat dissatisfied",0
"1246","Yes","Yes","Yes",14,32000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"1247","Yes","No","No",0,55000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"1248","Yes","Yes","Yes",1,45000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"1249","Yes","No","No",0,30000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"1250","Yes","No","No",0,18000,"Strongly satisfied",NA,NA,"Strongly disagree","Strongly agree","Strongly satisfied",1
"1251","Yes","No","Yes",0,37000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"1252","Yes","No","No",0,390,"Strongly satisfied",NA,NA,"Strongly agree","Somewhat agree","Strongly satisfied",1
"1253","Yes","Yes","No",0,20000,"Somewhat dissatisfied",NA,NA,"Strongly disagree","Strongly agree","Somewhat dissatisfied",0
"1254","Yes","No","No",0,35000,"Strongly satisfied",NA,NA,"Strongly disagree","Strongly disagree","Strongly satisfied",1
"1255","Yes","No","Yes",20,60000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat disagree","Strongly satisfied",1
"1256","Yes","Yes","Yes",40,35000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"1257","Yes","No","No",0,40000,"Strongly dissatisfied",NA,NA,"Strongly agree","Strongly agree","Strongly dissatisfied",0
"1258","Yes","Yes","No",0,32000,"Somewhat dissatisfied",NA,NA,"Strongly disagree","Strongly agree","Somewhat dissatisfied",0
"1259","Yes","No","No",0,385,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat disagree","Strongly satisfied",1
"1260","Yes","No","No",0,20000,"Strongly satisfied",NA,NA,"Somewhat agree","No opinion","Strongly satisfied",1
"1261","Yes","No","Yes",25,60000,"Somewhat satisfied",NA,NA,"No opinion","Strongly agree","Somewhat satisfied",1
"1262","Yes","Yes","Yes",30,30000,"Somewhat dissatisfied",NA,NA,"Strongly agree","Strongly agree","Somewhat dissatisfied",0
"1263","Yes","No","No",0,20000,"Somewhat satisfied",NA,NA,"Strongly agree","Strongly agree","Somewhat satisfied",1
"1264","Yes","Yes","Yes",25,40000,"Somewhat satisfied",NA,NA,"Somewhat agree","Strongly agree","Somewhat satisfied",1
"1265","Yes","No","Yes",3,18000,"Somewhat dissatisfied",NA,NA,"Somewhat agree","Somewhat agree","Somewhat dissatisfied",0
"1266","Yes","Yes","Yes",5,60000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Strongly agree","Somewhat satisfied",1
"1267","Yes","No","No",0,32000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"1268","Yes","No","No",0,30000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"1269","Yes","No","Yes",30,10000,"Somewhat dissatisfied",NA,NA,"Strongly disagree","Somewhat disagree","Somewhat dissatisfied",0
"1270","Yes","No","No",0,19000,"Somewhat satisfied",NA,"Do not know","Somewhat agree","Somewhat agree","Somewhat satisfied",1
"1271","Yes","No","No",0,25000,"Somewhat dissatisfied",NA,NA,"Somewhat agree","Somewhat agree","Somewhat dissatisfied",0
"1272","Yes","No","Yes",15,18000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"1273","Yes","No","No",0,60000,"Strongly satisfied",NA,NA,"Strongly disagree","Strongly agree","Strongly satisfied",1
"1274","Yes","No","No",0,21000,"Strongly satisfied",NA,NA,"No opinion","Somewhat agree","Strongly satisfied",1
"1275","Yes","No","No",0,33000,"Somewhat satisfied",NA,NA,"Somewhat agree","Strongly agree","Somewhat satisfied",1
"1276","Yes","No","Yes",30,20000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat satisfied",1
"1277","Yes","No","No",0,50000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"1278","Yes","No","No",0,14000,"Somewhat satisfied",NA,NA,"Strongly disagree","Strongly agree","Somewhat satisfied",1
"1279","Yes","No","No",0,40000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat satisfied",1
"1280","Yes","No","No",0,9600,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat agree","Strongly satisfied",1
"1281","Yes","No","Yes",15,30000,"Somewhat dissatisfied",NA,NA,"No opinion","Somewhat agree","Somewhat dissatisfied",0
"1282","Yes","No","No",0,0,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"1283","Yes","No","No",0,10000,"Strongly dissatisfied",NA,NA,"Somewhat agree","Somewhat disagree","Strongly dissatisfied",0
"1284","Yes","No","No",0,8000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"1285","Yes","No","No",0,10000,"Somewhat satisfied",NA,NA,"Strongly disagree","Somewhat agree","Somewhat satisfied",1
"1286","Yes","No","No",0,40000,"Somewhat satisfied",NA,NA,"Strongly disagree","Somewhat agree","Somewhat satisfied",1
"1287","Yes","Yes","No",0,35000,"Strongly dissatisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly dissatisfied",0
"1288","Yes","No","No",0,15000,"Somewhat dissatisfied","Not stated",NA,"Somewhat disagree","Somewhat agree","Somewhat dissatisfied",0
"1289","Yes","No","No",0,745,"Strongly satisfied",NA,NA,"Strongly disagree","Strongly agree","Strongly satisfied",1
"1290","No","No","No",0,16000,"Somewhat dissatisfied",NA,NA,"Strongly disagree","Strongly agree","Somewhat dissatisfied",0
"1291","Yes","Yes","Yes",0,20000,"Somewhat satisfied",NA,NA,"Somewhat agree","Strongly agree","Somewhat satisfied",1
"1292","Yes","No","No",0,18000,"Strongly dissatisfied",NA,NA,"Strongly disagree","Somewhat agree","Strongly dissatisfied",0
"1293","Yes","No","Yes",15,45000,"Somewhat satisfied",NA,NA,"No opinion","Strongly agree","Somewhat satisfied",1
"1294","No","No","No",0,10000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"1295","Yes","No","No",0,540,"Strongly satisfied",NA,NA,"No opinion","No opinion","Strongly satisfied",1
"1296","Yes","No","No",0,5000,"Strongly dissatisfied",NA,"No","Strongly agree","Somewhat agree","Strongly dissatisfied",0
"1297","Yes","No","No",0,6000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat disagree","Strongly satisfied",1
"1298","Yes","Yes","Yes",10,50000,"Strongly dissatisfied",NA,NA,"Somewhat disagree","No opinion","Strongly dissatisfied",0
"1299","Yes","Yes","Yes",38,30000,"Somewhat satisfied",NA,NA,"Strongly agree","Strongly agree","Somewhat satisfied",1
